Date,UU in 0000s,PV in 0000s,DD/ GRPs,BHARTI \AIRTEL LTD,VODAFONE ESSAR LTD,Outdoor 14 Days,Outdoor 30 Days,Radio,Radio Spends,Digital Spends,Digital Non Vernacular,Digital Vernacular,Airtel GRPs_Mass,Airtel GRPs_Reg,Airtel GRPs_Sports,Outdoor 45 Days
19-Apr-13,4.6,15.5,0,1,83,0,0,0,0,0,0,0,0,1,0,0
20-Apr-13,4.4,13.9,0,2,108,0,0,0,0,0,0,0,1,0,1,0
21-Apr-13,13.6,55,0,85,176,0,0,0,0,0,0,0,1,0,85,0
22-Apr-13,7.5,38,0,45,119,0,0,0,0,0,0,0,0,0,45,0
23-Apr-13,14.7,71,0,54,179,0,0,0,0,0,0,0,4,2,48,0
24-Apr-13,12.9,74,0,130,85,0,0,0,0,0,0,0,57,7,66,0
25-Apr-13,21.5,121,0,145,127,0,0,0,0,24947,24947,0,63,11,71,0
26-Apr-13,25.1,152,0,165,94,0,0,0,0,82743,82743,0,78,12,75,0
27-Apr-13,31.9,183,0,191,162,0,0,0,0,167279,167279,0,64,16,110,0
28-Apr-13,35.6,210,0,240,185,0,0,0,0,75153,75153,0,82,24,134,0
29-Apr-13,36,214,0,210,173,1,1,0,0,117337,117337,0,74,21,114,1
30-Apr-13,35.9,217,0,167,127,1,1,0,0,44312,44312,0,95,17,55,1
1-May-13,33.9,204,0,157,182,1,1,0,0,63920,63920,0,32,10,114,1
2-May-13,33.9,188,0,27,162,1,1,0,0,72453,72453,0,4,8,15,1
3-May-13,34.9,185,0,92,94,1,1,0,0,77790,77790,0,38,13,40,1
4-May-13,37.7,203,0,109,67,1,1,0,0,104260,104260,0,62,26,21,1
5-May-13,37.1,202,0,174,161,1,1,0,0,126578,0,126578,96,34,44,1
6-May-13,39.8,209,0,139,103,1,1,0,0,229205,0,229205,61,20,59,1
7-May-13,47.4,237,0,149,165,1,1,0,0,256939,0,256939,59,14,75,1
8-May-13,50.7,245,0,136,99,1,1,0,0,374371,0,374371,77,20,39,1
9-May-13,50.7,248,0,124,130,1,1,0,0,387870,0,387870,66,11,47,1
10-May-13,44.5,210,0,106,104,1,1,0,0,399012,0,399012,46,15,46,1
11-May-13,44.5,215,0,152,121,1,1,0,0,395222,0,395222,47,30,75,1
12-May-13,46.5,224,0,185,157,1,1,0,0,388295,0,388295,84,35,66,1
13-May-13,42.7,204,0,89,105,0,1,0,0,416671,0,416671,62,12,15,1
14-May-13,41.4,193,0,140,154,0,1,0,0,464030,0,464030,59,14,67,1
15-May-13,41.7,183,0,178,159,0,1,1127,0,367094,0,367094,53,19,106,1
16-May-13,40.8,179,0,129,82,0,1,1127,0,318633,0,318633,69,10,50,1
17-May-13,41.6,177,0,125,84,0,1,1127,0,368650,0,368650,95,14,17,1
18-May-13,41.5,177,0,204,106,0,1,1127,0,377226,0,377226,109,24,71,1
19-May-13,46.9,199,0,180,113,0,1,1127,0,335018,0,335018,84,34,62,1
20-May-13,36.9,164,0,100,3,0,1,1127,515998,323367,0,323367,84,13,3,1
21-May-13,40.9,171,0,153,142,0,1,1127,515998,500308,0,500308,68,13,72,1
22-May-13,38.7,161,0,128,141,0,1,1127,515998,347493,0,347493,68,9,50,1
23-May-13,36.4,152,0,71,97,0,1,1127,515998,333002,0,333002,55,13,3,1
24-May-13,35.5,148,0,126,197,0,1,1127,515998,397730,0,397730,69,14,43,1
25-May-13,36.2,151,0,100,93,0,1,1127,515998,357148,0,357148,68,29,4,1
26-May-13,39.6,164,0,203,266,0,1,1127,515998,314484,0,314484,74,29,100,1
27-May-13,29.4,132,0,88,98,0,1,1127,515998,262654,0,262654,72,13,3,1
28-May-13,25.7,116,0,78,78,0,1,1127,515998,242267,0,242267,61,14,3,1
29-May-13,24,111,0,83,0,0,0,1127,515998,281051,0,281051,64,15,4,1
30-May-13,25.5,117,0,72,0,0,0,803,515998,251335,0,251335,52,12,8,1
31-May-13,26.9,119,0,74,0,0,0,803,515998,237598,0,237598,47,13,15,1
1-Jun-13,22.6,103,0,106,0,0,0,803,515998,8683,0,8683,39,24,43,1
2-Jun-13,21.9,103,17,101,0,0,0,803,515998,5538,0,5538,66,25,10,1
3-Jun-13,23.2,102,46,81,0,0,0,803,515998,59680,0,59680,52,12,17,1
4-Jun-13,23.8,107,43,126,0,0,0,803,515998,234358,0,234358,63,11,52,1
5-Jun-13,22.2,101,49,77,0,0,0,803,515998,114655,0,114655,52,14,10,1
6-Jun-13,24.9,116,0,114,0,0,0,803,515998,104785,0,104785,43,11,61,1
7-Jun-13,21.7,102,29,79,0,0,0,803,515998,88385,0,88385,31,14,34,1
8-Jun-13,22.7,102,0,98,4,0,0,803,515998,0,0,0,39,25,34,1
9-Jun-13,22.5,103,10,126,3,0,0,803,515998,0,0,0,58,31,36,1
10-Jun-13,20.5,94,26,101,2,0,0,803,515998,0,0,0,49,8,44,1
11-Jun-13,22.8,108,0,119,11,0,0,803,515998,0,0,0,47,9,63,1
12-Jun-13,14.9,67,28,86,3,0,0,803,515998,0,0,0,49,14,23,1
13-Jun-13,15.3,68,42,101,2,0,0,803,515998,0,0,0,68,8,26,0
14-Jun-13,15.9,73,6,81,3,0,0,0,515998,0,0,0,40,11,30,0
15-Jun-13,15.3,69,0,87,0,0,0,0,515998,0,0,0,29,12,46,0
16-Jun-13,15.2,67,0,64,0,0,0,0,515998,0,0,0,26,26,12,0
17-Jun-13,13.1,59,0,66,4,0,0,0,515998,0,0,0,22,13,32,0
18-Jun-13,14.4,63,0,35,0,0,0,0,515998,0,0,0,23,11,1,0
19-Jun-13,13.3,60,0,40,0,0,0,0,0,0,0,0,6,8,25,0
