Model No.,name_ind1,name_ind2,name_ind3,name_ind4,rsquare,adjr2,fstat,coef_int,coef_var1,coef_var2,coef_var3,coef_var4,t_int,t_ind1,t_ind2,t_ind3,t_ind4,dw
ModelFilter_1_11,Subway Total_0.2_0.8   ,Dominos Total_0.8_0.8  ,McDonalds Total_0.8_0.6,KFC Total_0.8_0.2      ,0.65,0.61,18.08,-26386.53,-26.13,-10.62,119.62,11031.74,-2.08,-2.27,-2.18,3.32,3.04,0.53
ModelFilter_1_9,Subway Total_0.2_0.8   ,McDonalds Total_0.6_0.2,KFC Total_0.8_0.2      ,,0.61,0.58,20.96,-31943.55,-30.57,5434.83,8481.69,,-4.00,-2.54,3.24,4.97,,0.48
ModelFilter_1_10,Dominos Total_0.8_0.8  ,McDonalds Total_0.8_0.8,KFC Total_0.8_0.2      ,,0.60,0.57,20.30,-27167.43,-11.80,16.52,11949.31,,-2.02,-2.32,2.91,3.19,,0.52
ModelFilter_1_2,Subway Total_0.2_0.8   ,McDonalds Total_0.8_0.2,,,0.58,0.56,28.46,-26090.04,-28.39,11990.57,,,-3.43,-2.32,7.52,,,0.46
ModelFilter_1_7,Subway Total_0.2_0.8   ,Dominos Total_0.4_0.8  ,McDonalds Total_0.8_0.2,,0.59,0.56,19.15,-28867.46,-28.84,-6.26,13058.07,,-3.50,-2.35,-0.89,6.55,,0.48
ModelFilter_1_6,McDonalds Total_0.8_0.4,KFC Total_0.8_0.2      ,,,0.55,0.53,25.17,-10371.69,786.74,4533.88,,,-1.22,2.72,1.69,,,0.45
ModelFilter_1_8,Subway Total_0.2_0.8 ,Dominos Total_0.8_0.8,KFC Total_0.8_0.4    ,,0.55,0.52,16.56,-4556.52,-22.12,-10.86,1928.76,,-0.80,-1.74,-1.99,4.86,,0.44
ModelFilter_1_4,Dominos Total_0.6_0.8  ,McDonalds Total_0.8_0.2,,,0.53,0.51,23.40,-26975.80,-4.66,12274.12,,,-3.02,-0.78,5.60,,,0.52
ModelFilter_1_5,Dominos Total_0.8_0.8,KFC Total_0.8_0.4    ,,,0.52,0.50,22.24,-5104.57,-11.67,1917.61,,,-0.88,-2.09,4.72,,,0.40
ModelFilter_1_3,Subway Total_0.2_0.8,KFC Total_0.8_0.4   ,,,0.51,0.49,21.33,2939.69,-24.26,1228.19,,,0.67,-1.85,6.51,,,0.36
ModelFilter_1_1,Subway Total_0.2_0.8 ,Dominos Total_0.8_0.2,,,0.36,0.33,11.74,-4611.49,-20.32,6817.12,,,-0.62,-1.36,4.82,,,0.25
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ModelFilter_1_1,,,,,,,,,,,,,,,,,,
Intercept,Any Value,,,,,,,,,,,,,,,,,
Subway Total,Any Value,,,,,,,,,,,,,,,,,
Dominos Total,Any Value,,,,,,,,,,,,,,,,,
OUTPUT_Subway Total _ Dominos Total .csv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ModelFilter_1_2,,,,,,,,,,,,,,,,,,
Intercept,Any Value,,,,,,,,,,,,,,,,,
Subway Total,Any Value,,,,,,,,,,,,,,,,,
McDonalds Total,Any Value,,,,,,,,,,,,,,,,,
OUTPUT_Subway Total _ McDonalds Total .csv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ModelFilter_1_3,,,,,,,,,,,,,,,,,,
Intercept,Any Value,,,,,,,,,,,,,,,,,
Subway Total,Any Value,,,,,,,,,,,,,,,,,
KFC Total,Any Value,,,,,,,,,,,,,,,,,
OUTPUT_Subway Total _ KFC Total .csv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ModelFilter_1_4,,,,,,,,,,,,,,,,,,
Intercept,Any Value,,,,,,,,,,,,,,,,,
Dominos Total,Any Value,,,,,,,,,,,,,,,,,
McDonalds Total,Any Value,,,,,,,,,,,,,,,,,
OUTPUT_Dominos Total _ McDonalds Total .csv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ModelFilter_1_5,,,,,,,,,,,,,,,,,,
Intercept,Any Value,,,,,,,,,,,,,,,,,
Dominos Total,Any Value,,,,,,,,,,,,,,,,,
KFC Total,Any Value,,,,,,,,,,,,,,,,,
OUTPUT_Dominos Total _ KFC Total .csv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ModelFilter_1_6,,,,,,,,,,,,,,,,,,
Intercept,Any Value,,,,,,,,,,,,,,,,,
McDonalds Total,Any Value,,,,,,,,,,,,,,,,,
KFC Total,Any Value,,,,,,,,,,,,,,,,,
OUTPUT_McDonalds Total _ KFC Total .csv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ModelFilter_1_7,,,,,,,,,,,,,,,,,,
Intercept,Any Value,,,,,,,,,,,,,,,,,
Subway Total,Any Value,,,,,,,,,,,,,,,,,
Dominos Total,Any Value,,,,,,,,,,,,,,,,,
McDonalds Total,Any Value,,,,,,,,,,,,,,,,,
OUTPUT_Subway Total _ Dominos Total _ McDonalds Total.csv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ModelFilter_1_8,,,,,,,,,,,,,,,,,,
Intercept,Any Value,,,,,,,,,,,,,,,,,
Subway Total,Any Value,,,,,,,,,,,,,,,,,
Dominos Total,Any Value,,,,,,,,,,,,,,,,,
KFC Total,Any Value,,,,,,,,,,,,,,,,,
OUTPUT_Subway Total _ Dominos Total _ KFC Total.csv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ModelFilter_1_9,,,,,,,,,,,,,,,,,,
Intercept,Any Value,,,,,,,,,,,,,,,,,
Subway Total,Any Value,,,,,,,,,,,,,,,,,
McDonalds Total,Any Value,,,,,,,,,,,,,,,,,
KFC Total,Any Value,,,,,,,,,,,,,,,,,
OUTPUT_Subway Total _ McDonalds Total _ KFC Total.csv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ModelFilter_1_10,,,,,,,,,,,,,,,,,,
Intercept,Any Value,,,,,,,,,,,,,,,,,
Dominos Total,Any Value,,,,,,,,,,,,,,,,,
McDonalds Total,Any Value,,,,,,,,,,,,,,,,,
KFC Total,Any Value,,,,,,,,,,,,,,,,,
OUTPUT_Dominos Total _ McDonalds Total _ KFC Total.csv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ModelFilter_1_11,,,,,,,,,,,,,,,,,,
Intercept,Any Value,,,,,,,,,,,,,,,,,
Subway Total,Any Value,,,,,,,,,,,,,,,,,
Dominos Total,Any Value,,,,,,,,,,,,,,,,,
McDonalds Total,Any Value,,,,,,,,,,,,,,,,,
KFC Total,Any Value,,,,,,,,,,,,,,,,,
OUTPUT_Subway Total _ Dominos Total _ McDonalds Total _ KFC Total.csv,,,,,,,,,,,,,,,,,,
